date,portfolio,VT,SPY,QQQ,IWM,EFA,EEM,AGG,SHY,IEF,TLT,TIP,BIL,GLD,DBC,VNQ
2026-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-02,0.00329,0.00032,-0.00131,-0.01733,-0.00581,0.0131,-0.01173,0.00112,0.00122,0.00096,-0.00012,0.00148,0.00044,0.02032,0.00454,0.01239
2026-07-06,0.0015,0.01083,0.0074,-0.00324,-0.0014,0.02368,0.0164,0.00162,0.00171,0.0016,-0.00082,0.00296,0.00033,0.03111,0.02079,0.00434
2026-07-07,-0.00716,0.00141,0.00261,-0.02171,-0.01046,0.01107,-0.01143,-0.00294,0.00024,-0.00351,-0.01134,0.0,0.00055,0.01859,0.03403,0.01632
2026-07-08,-0.01397,-0.00199,-0.00048,-0.01893,-0.01951,0.0033,-0.00376,-0.00467,0.0,-0.00553,-0.01356,-0.00111,0.00055,0.01039,0.05104,-0.00021
2026-07-09,0.00731,0.00564,0.00798,-0.00261,-0.00695,0.00874,0.00451,-0.00325,0.00086,-0.0034,-0.01204,-0.00046,0.00066,0.02045,0.04272,0.00279
2026-07-10,0.01294,0.00967,0.01232,0.00047,-0.01113,0.01272,0.00632,-0.00426,0.00049,-0.00425,-0.01228,-0.00037,0.00109,0.0173,0.04045,0.00516
2026-07-13,-1e-05,-0.00199,0.00457,-0.01852,-0.01951,0.00214,-0.02978,-0.00802,-0.00061,-0.00787,-0.01812,-0.0024,0.00109,-0.00936,0.07108,0.01043
2026-07-14,-0.00735,0.00423,0.00814,-0.00756,-0.01607,0.00912,-0.01218,-0.00508,0.0011,-0.0051,-0.01684,-0.00148,0.0012,0.00418,0.08242,0.00775
2026-07-15,0.00234,0.00749,0.01214,-0.01025,-0.01186,0.01582,-0.01369,-0.00365,0.00196,-0.00266,-0.01497,-0.00092,0.00131,0.00472,0.08847,0.01074
2026-07-16,-0.00961,6e-05,0.00665,-0.02652,-0.01246,0.00767,-0.03445,-0.00376,0.00196,-0.0033,-0.01532,-0.00185,0.00142,-0.01522,0.07599,0.03357
2026-07-17,-0.01878,-0.00858,-0.00331,-0.04115,-0.01764,0.00301,-0.04798,-0.00305,0.00183,-0.00202,-0.01169,0.00092,0.00164,-0.00591,0.09565,0.03305
2026-07-20,-0.02035,-0.01172,-0.00492,-0.04014,-0.02342,-0.00437,-0.04392,-0.00558,0.00141,-0.00521,-0.01906,-0.00111,0.00175,-0.00809,0.1017,0.02747
2026-07-21,-0.00904,0.00013,0.00338,-0.02234,-0.00929,0.0101,-0.01715,-0.00772,0.00061,-0.00766,-0.02175,-0.00268,0.00175,0.01136,0.11796,0.02789
2026-07-22,-0.04656,-0.00064,0.00221,-0.02733,-0.01848,0.01194,-0.02241,-0.00934,-0.00012,-0.00989,-0.02432,-0.0037,0.00197,0.02299,0.12892,0.02272
2026-07-23,-0.06246,-0.01159,-0.01016,-0.0458,-0.02415,-0.00116,-0.02828,-0.01178,-0.00086,-0.01255,-0.02748,-0.00629,0.00197,0.00248,0.14594,0.01931
2026-07-24,-0.06376,-0.0123,-0.00916,-0.05646,-0.02723,0.00379,-0.04738,-0.01056,0.00012,-0.01063,-0.02654,-0.00619,0.0023,0.00351,0.138,0.04121
2026-07-27,-0.03872,-0.0107,-0.00894,-0.05937,-0.02142,0.00864,-0.04302,-0.00822,0.00037,-0.00798,-0.0207,-0.00721,0.00241,0.01087,0.09679,0.03842
2026-07-28,-0.06135,-0.01134,-0.00657,-0.06851,-0.01988,0.00844,-0.06197,-0.00589,0.00122,-0.005,-0.01497,-0.00471,0.00252,-0.00332,0.08129,0.04266
2026-07-30,-0.08772,-0.00429,-0.00546,-0.05739,-0.02248,0.03126,-0.04347,-0.00893,0.00208,-0.00872,-0.03181,-0.00398,0.00274,0.0177,0.10851,0.02758
